names                 |weights               |costs                 |unit_costs            
Геленджик-            |['АГК-0077']          |10.94                 |2018-12-06 09:27:34.471192
Геленджик-            |['АГК-0078']          |12.31                 |2018-12-06 09:27:34.753479
Геленджик-            |['АГК-0079']          |12.42                 |2018-12-06 09:27:35.019673
Мостовской            |['АГК-0080']          |12.57                 |2018-12-06 09:27:35.311048
Мостовской            |['АГК-0081']          |12.26                 |2018-12-06 09:27:35.568118
Мостовской            |['АГК-0082']          |12.14                 |2018-12-06 09:27:35.842542
Мостовской            |['АГК-0083']          |12.28                 |2018-12-06 09:27:36.100252
Мостовской            |['АГК-0084']          |12.18                 |2018-12-06 09:27:36.366856
Усть-Лабинский        |['АГК-0085']          |11.46                 |2018-12-06 09:27:36.631260
Тбилисский            |['АГК-0086']          |12.08                 |2018-12-06 09:27:36.921881
Горячий               |['АГК-0087']          |10.72                 |2018-12-06 09:27:37.174819
Горячий               |['АГК-0088']          |11.97                 |2018-12-06 09:27:37.440809
Сочи-                 |['АГК-0089']          |11.75                 |2018-12-06 09:27:37.728422
Сочи-                 |['АГК-0090']          |12.25                 |2018-12-06 09:27:38.005470
Туапсинский           |['АГК-0092']          |11.57                 |2018-12-06 09:27:38.266563
Туапсинский           |['АГК-0093']          |12.57                 |2018-12-06 09:27:38.531258
Туапсинский           |['АГК-0094']          |10.93                 |2018-12-06 09:27:38.791692
Туапсинский           |['АГК-0095']          |10.43                 |2018-12-06 09:27:39.050741
Туапсинский           |['АГК-0096']          |11.99                 |2018-12-06 09:27:39.305955
Отрадненский          |['АГК-0097']          |12.50                 |2018-12-06 09:27:39.560450
Отрадненский          |['АГК-0098']          |10.94                 |2018-12-06 09:27:39.824763
Отрадненский          |['АГК-0100']          |--.--                 |2018-12-06 09:27:40.064109
Отрадненский          |['АГК-0101']          |12.59                 |2018-12-06 09:27:40.336379
Отрадненский          |['АГК-0102']          |12.53                 |2018-12-06 09:27:40.592283
Приморско-Ахтарский   |['АГК-0103']          |--.--                 |2018-12-06 09:27:40.838803
Приморско-Ахтарский   |['АГК-0104']          |11.61                 |2018-12-06 09:27:41.107514
Брюховеций            |['АГК-0105']          |--.--                 |2018-12-06 09:27:41.358018
Брюховеций            |['АГК-0106']          |12.48                 |2018-12-06 09:27:41.627937
Брюховеций            |['АГК-0107']          |11.81                 |2018-12-06 09:27:41.886952
Калининский           |['АГК-0109']          |11.79                 |2018-12-06 09:27:42.166178
Приморско-Ахтарский   |['АГК-0110']          |--.--                 |2018-12-06 09:27:42.418296
Сочи-                 |['АГК-0111']          |11.11                 |2018-12-06 09:27:42.696831
Калининский           |['АГК-0112']          |12.20                 |2018-12-06 09:27:42.966898
Апшеронский           |['АГК-0113']          |--.--                 |2018-12-06 09:27:43.232388
Апшеронский           |['АГК-0114']          |11.76                 |2018-12-06 09:27:43.501552
Апшеронский           |['АГК-0115']          |12.24                 |2018-12-06 09:27:43.760940
Ейскиий               |['АГК-0116']          |12.78                 |2018-12-06 09:27:44.023499
Ейскиий               |['АГК-0117']          |11.95                 |2018-12-06 09:27:44.278831
